matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
548330,308.0,708.5,11.0,0.5652787579393084,-50.0
548331,452.0,771.0,11.0,0.41374837872892345,-50.0
548332,256.0,593.0,11.0,0.5682967959527825,-50.0
548333,323.0,790.5,11.0,0.5913978494623656,-50.0
548334,471.0,711.0,11.0,0.33755274261603374,-50.0
548335,460.5,541.5,11.0,0.14958448753462603,75.0
548336,188.0,776.5,11.0,0.7578879587894398,-50.0
548337,562.0,612.0,11.0,0.08169934640522876,350.0
548339,268.0,678.5,11.0,0.6050110537951363,-50.0
548341,383.0,581.0,11.0,0.3407917383820998,-50.0
548342,571.0,834.5,11.0,0.3157579388855602,-50.0
548343,332.0,740.0,11.0,0.5513513513513514,-50.0
548344,612.5,790.5,11.0,0.2251739405439595,0.0
548345,525.5,655.5,11.0,0.19832189168573608,50.0
548346,567.5,705.5,11.0,0.19560595322466337,50.0
548347,502.0,652.0,11.0,0.23006134969325154,0.0
548348,506.5,702.5,11.0,0.27900355871886123,-50.0
548349,373.0,736.0,11.0,0.49320652173913043,-50.0
548350,447.0,694.5,11.0,0.3563714902807775,-50.0
548351,371.0,578.5,11.0,0.35868625756266204,-50.0
548352,399.0,656.0,11.0,0.39176829268292684,-50.0
548353,564.5,707.5,11.0,0.2021201413427562,0.0
548354,686.5,803.5,11.0,0.14561294337274425,75.0
548355,657.5,846.5,11.0,0.22327229769639692,0.0
548356,525.5,654.5,11.0,0.1970970206264324,50.0
548357,567.5,637.5,11.0,0.10980392156862745,75.0
548358,466.5,599.5,11.0,0.22185154295246037,0.0
548359,496.0,673.0,11.0,0.26300148588410105,-50.0
548360,361.0,627.0,11.0,0.42424242424242425,-50.0
548361,279.0,557.0,11.0,0.4991023339317774,-50.0
548362,537.5,667.5,11.0,0.1947565543071161,50.0
548363,651.5,738.5,11.0,0.11780636425186188,75.0
548364,198.0,511.0,11.0,0.6125244618395304,-50.0
548365,494.0,843.0,11.0,0.4139976275207592,-50.0
548366,606.0,754.0,11.0,0.1962864721485411,50.0
548367,336.5,724.5,11.0,0.5355417529330573,-50.0
548368,494.0,640.0,11.0,0.228125,0.0
548369,307.5,649.5,11.0,0.5265588914549654,-50.0
548370,536.0,711.0,11.0,0.24613220815752462,0.0
548371,524.5,685.5,11.0,0.2348650619985412,0.0
548372,604.0,926.5,11.0,0.3480841878035618,-50.0
548373,392.0,555.0,11.0,0.2936936936936937,-50.0
548374,591.5,824.5,11.0,0.28259551243177683,-50.0
548375,455.0,621.0,11.0,0.2673107890499195,-50.0
548376,579.5,758.5,11.0,0.23599208965062624,0.0
548377,259.0,676.5,11.0,0.6171470805617147,-50.0
548378,448.0,602.0,11.0,0.2558139534883721,-50.0
548379,579.5,758.5,11.0,0.23599208965062624,0.0
548380,443.5,845.5,11.0,0.47545830869308103,-50.0
548381,487.0,807.0,11.0,0.3965303593556382,-50.0
597998,566.0,709.0,11.0,0.2016925246826516,0.0
597999,455.0,747.5,11.0,0.391304347826087,-50.0
598000,411.5,627.5,11.0,0.34422310756972113,-50.0
598001,541.5,773.5,11.0,0.29993535875888816,-50.0
598002,443.0,747.0,11.0,0.4069611780455154,-50.0
598003,368.0,476.0,11.0,0.226890756302521,0.0
598004,514.0,709.0,11.0,0.2750352609308886,-50.0
598005,248.0,683.5,11.0,0.6371616678858815,-50.0
598006,702.5,863.5,11.0,0.18645049218297627,50.0
598007,501.5,671.5,11.0,0.25316455696202533,-50.0
598008,559.0,712.0,11.0,0.2148876404494382,0.0
598009,340.0,680.0,11.0,0.5,-50.0
598010,392.0,613.0,11.0,0.3605220228384992,-50.0
598011,509.0,652.5,11.0,0.21992337164750958,0.0
598012,255.0,713.0,11.0,0.6423562412342216,-50.0
598013,495.0,724.0,11.0,0.31629834254143646,-50.0
598014,390.0,646.0,11.0,0.39628482972136225,-50.0
598015,420.0,686.0,11.0,0.3877551020408163,-50.0
598016,555.0,843.0,11.0,0.3416370106761566,-50.0
598017,486.0,535.0,11.0,0.09158878504672897,350.0
598018,682.5,780.5,11.0,0.12556053811659193,75.0
598019,396.0,677.5,11.0,0.4154981549815498,-50.0
598020,427.0,625.5,11.0,0.3173461231015188,-50.0
598021,320.0,559.0,11.0,0.4275491949910555,-50.0
598022,316.5,698.5,11.0,0.5468861846814602,-50.0
598023,357.5,673.5,11.0,0.46919079435783223,-50.0
598024,602.5,674.5,11.0,0.1067457375833951,75.0
598025,434.5,728.5,11.0,0.40356897735072067,-50.0
598026,614.0,845.0,11.0,0.2733727810650888,-50.0
598027,860.0,1056.0,11.0,0.1856060606060606,50.0
598028,357.0,680.5,11.0,0.47538574577516535,-50.0
598029,394.5,672.5,11.0,0.4133828996282528,-50.0
598030,651.0,707.0,11.0,0.07920792079207921,950.0
598031,504.5,660.5,11.0,0.23618470855412566,0.0
598032,420.5,826.5,11.0,0.49122807017543857,-50.0
