matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points,total_points_avg
734011,SV Samson,43.0,27.0,27.0,3.0,2.0,2.0,1st innings,Rajasthan Royals,Delhi Daredevils,,,,,,,,,,nan,1849.0,6.0,2.0,0,1857.0,,0,,0,0.0,1857.0,667.4
734013,AB de Villiers,31.0,15.0,15.0,3.0,1.0,2.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,,,,nan,961.0,6.0,1.0,0,968.0,,0,,0,0.0,968.0,1878.8
734013,AN Ahmed,4.0,1.0,1.0,,1.0,5.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,1.0,24.0,24.0,18.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,4.5,Bowler,16.0,,1.0,0,17.0,25.0,4,0.0,0,29.0,46.0,56.4
734013,BB McCullum,19.0,13.0,13.0,2.0,1.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,,,,,,,,,,nan,361.0,4.0,1.0,0,366.0,,0,,0,0.0,366.0,1857.5
734013,CH Gayle,52.0,52.0,52.0,3.0,3.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,,,,All Rounder,2704.0,6.0,3.0,8,2721.0,,0,,0,0.0,2721.0,1059.7
734013,DJ Hussey,27.0,31.0,31.0,1.0,1.0,2.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,2.0,18.0,18.0,36.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,12.0,All Rounder,729.0,2.0,1.0,0,732.0,50.0,-6,0.0,0,44.0,776.0,669.1
734013,DR Smith,10.0,15.0,15.0,,1.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,,,,,,,,,,All Rounder,100.0,,1.0,0,101.0,,0,,0,0.0,101.0,2820.8
734013,M Muralitharan,,,,,,,,,,1.0,26.0,26.0,27.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,6.230769230769231,Bowler,,,,0,0.0,25.0,0,0.0,0,25.0,25.0,16.1
734013,MA Starc,,,,,,,,,,,24.0,24.0,23.0,0.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,5.75,All Rounder,,,,0,0.0,,2,0.0,0,2.0,2.0,191.1
734013,MM Sharma,,,,,,,,,,,12.0,12.0,13.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,6.5,Bowler,,,,0,0.0,,0,0.0,0,0.0,0.0,45.2
734013,MS Dhoni,7.0,6.0,6.0,,1.0,3.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,,,,,,,,,,nan,49.0,,1.0,0,50.0,,0,,0,0.0,50.0,504.2
734013,PA Patel,10.0,14.0,14.0,,2.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,,,,nan,100.0,,2.0,0,102.0,,0,,0,0.0,102.0,758.8
734013,R Ashwin,,,,,,,,,,2.0,24.0,24.0,16.0,1.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,4.0,Bowler,,,,0,0.0,50.0,6,8.0,0,64.0,64.0,84.4
734013,RA Jadeja,10.0,9.0,9.0,,,4.0,1st innings,Chennai Super Kings,Royal Challengers Bangalore,1.0,25.0,25.0,30.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,7.2,All Rounder,100.0,,,0,100.0,25.0,0,0.0,0,25.0,125.0,271.4
734013,S Badree,,,,,,,,,,,19.0,19.0,14.0,0.0,2nd innings,Royal Challengers Bangalore,Chennai Super Kings,4.421052631578948,Bowler,,,,0,0.0,,4,0.0,0,4.0,4.0,
