matchid,playername,total_runs,total_balls_faced,total_legal_balls_faced,run_6,run_4,fallofwickets,batsmen_innings,batsmen_battingteam,batsmen_bowlingteam,total_wickets,total_balls_bowled,total_legal_balls_bowled,total_runs_given,maiden_overs,bowlers_innings,bowler_battingteam,bowler_bowlingteam,economy_rate,playing_role,total_runs_points,run_6_points,run_4_points,run_bonus_points,total_bat_points,total_wickets_points,economy_rate_points,maiden_overs_points,wicket_bonus_points,total_bowl_points,total_points
335989,Harbhajan Singh,28,14,14,3,1,6,2nd innings,Mumbai Indians,Chennai Super Kings,,12,12,14,0,1st innings,Chennai Super Kings,Mumbai Indians,7,Bowler,28,6,1,0,35,,0,0,0,0,35
335989,JDP Oram,5,2,2,,1,4,1st innings,Chennai Super Kings,Mumbai Indians,,26,26,51,0,2nd innings,Mumbai Indians,Chennai Super Kings,11.76923077,Bowler,5,,1,0,6,,-6,0,0,-6,0
335989,L Ronchi,3,4,4,,,0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,3,,,0,3,,0,,0,,3
335989,MA Khote,9,5,5,1,,5,2nd innings,Mumbai Indians,Chennai Super Kings,2,18,18,29,0,1st innings,Chennai Super Kings,Mumbai Indians,9.666666667,Bowler,9,2,,0,11,50,-2,0,0,48,59
335989,MEK Hussey,5,9,9,,1,1,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,5,,1,0,6,,0,,0,,6
335989,ML Hayden,89,47,47,2,12,0,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,89,4,12,8,113,,0,,0,,113
335989,MS Dhoni,32,17,17,1,4,3,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,32,2,4,0,38,,0,,0,,38
335989,PA Patel,15,12,12,,3,0,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,15,,3,0,18,,0,,0,,18
335989,RV Uthappa,49,36,36,1,7,1,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,Batsmen,49,2,7,0,58,,0,,0,,58
335989,S Badrinath,2,1,1,,,5,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335989,SK Raina,60,39,39,3,3,2,1st innings,Chennai Super Kings,Mumbai Indians,,,,,,,,,,Batsmen,60,6,3,8,77,,0,,0,,77
335989,SM Pollock,20,18,18,1,,2,2nd innings,Mumbai Indians,Chennai Super Kings,,19,19,31,0,1st innings,Chennai Super Kings,Mumbai Indians,9.789473684,AllRounder,20,2,,0,22,,-2,0,0,-2,20
335989,ST Jayasuriya,21,12,12,,4,0,2nd innings,Mumbai Indians,Chennai Super Kings,,,,,,,,,,AllRounder,21,,4,0,25,,0,,0,,25
335990,A Symonds,122,57,57,7,11,2,1st innings,Deccan Chargers,Rajasthan Royals,,17,17,46,0,2nd innings,Rajasthan Royals,Deccan Chargers,16.23529412,AllRounder,122,14,11,24,171,,-6,0,0,-6,165
335990,AC Gilchrist,13,9,9,,3,0,1st innings,Deccan Chargers,Rajasthan Royals,,,,,,,,,,Batsmen,13,,3,0,16,,0,,0,,16
335990,AS Yadav,17,10,10,,3,4,1st innings,Deccan Chargers,Rajasthan Royals,,,,,,,,,,Batsmen,17,,3,0,20,,0,,0,,20
335990,D Salunkhe,1,1,1,,,6,2nd innings,Rajasthan Royals,Deccan Chargers,,6,6,9,0,1st innings,Deccan Chargers,Rajasthan Royals,9,Bowler,1,,,0,1,,-2,0,0,-2,-1
335990,GC Smith,73,46,46,2,9,0,2nd innings,Rajasthan Royals,Deccan Chargers,,,,,,,,,,Batsmen,73,4,9,8,94,,0,,0,,94
335990,Kamran Akmal,14,9,9,1,1,0,2nd innings,Rajasthan Royals,Deccan Chargers,,,,,,,,,,Batsmen,14,2,1,0,17,,0,,0,,17
335990,M Kaif,34,16,16,3,2,3,2nd innings,Rajasthan Royals,Deccan Chargers,,,,,,,,,,Batsmen,34,6,2,0,42,,0,,0,,42
335990,Pankaj Singh,4,3,3,,,7,2nd innings,Rajasthan Royals,Deccan Chargers,,12,12,14,0,1st innings,Deccan Chargers,Rajasthan Royals,7,Bowler,4,,,0,4,,0,0,0,0,4
335990,RA Jadeja,2,3,3,,,5,2nd innings,Rajasthan Royals,Deccan Chargers,,,,,,,,,,AllRounder,2,,,0,2,,0,,0,,2
335990,RG Sharma,36,30,30,1,3,3,1st innings,Deccan Chargers,Rajasthan Royals,,,,,,,,,,Batsmen,36,2,3,0,41,,0,,0,,41
335990,SK Warne,23,9,9,2,2,5,2nd innings,Rajasthan Royals,Deccan Chargers,2,25,25,46,0,1st innings,Deccan Chargers,Rajasthan Royals,11.04,Bowler,23,4,2,0,29,50,-6,0,0,44,73
335990,SR Watson,4,6,6,,,2,2nd innings,Rajasthan Royals,Deccan Chargers,1,26,26,30,0,1st innings,Deccan Chargers,Rajasthan Royals,6.923076923,AllRounder,4,,,0,4,25,0,0,0,25,29
335990,Shahid Afridi,10,4,4,1,1,1,1st innings,Deccan Chargers,Rajasthan Royals,3,25,25,27,0,2nd innings,Rajasthan Royals,Deccan Chargers,6.48,Bowler,10,2,1,0,13,75,0,0,0,75,88
335990,VVS Laxman,16,16,16,,3,0,1st innings,Deccan Chargers,Rajasthan Royals,,,,,,,,,,Batsmen,16,,3,0,19,,0,,0,,19
335990,YK Pathan,62,29,29,6,4,1,2nd innings,Rajasthan Royals,Deccan Chargers,2,12,12,20,0,1st innings,Deccan Chargers,Rajasthan Royals,10,AllRounder,62,12,4,8,86,50,-4,0,0,46,132
335991,A Nehra,3,10,10,,,9,2nd innings,Mumbai Indians,Kings XI Punjab,2,18,18,22,0,1st innings,Kings XI Punjab,Mumbai Indians,7.333333333,Bowler,3,,,0,3,50,0,0,0,50,53
335991,AM Nayar,2,3,3,,,5,2nd innings,Mumbai Indians,Kings XI Punjab,,,,,,,,,,Batsmen,2,,,0,2,,0,,0,,2
335991,B Lee,19,9,9,1,2,6,1st innings,Kings XI Punjab,Mumbai Indians,1,24,24,9,0,2nd innings,Mumbai Indians,Kings XI Punjab,2.25,Bowler,19,2,2,0,23,25,6,0,0,31,54
