matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_catboost,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
598045,MS Gony,Bowler,Kings XI Punjab,10,-2.0,27.852485585265466,27.852485585265466,,,,
598045,P Awana,Bowler,Kings XI Punjab,10,73.0,28.96077656786321,28.96077656786321,10.0,1.0,4.0,1.0
598045,PP Chawla,Bowler,Kings XI Punjab,10,0.0,26.092639206743517,26.092639206743517,,,,
598045,R Sathish,Batsmen,Kings XI Punjab,10,15.0,17.82379215865923,17.82379215865923,,,9.0,1.0
598045,R Vinay Kumar,Bowler,Royal Challengers Bangalore,10,0.0,35.360255841997045,35.360255841997045,3.0,1.0,,
598045,SE Marsh,Batsmen,Kings XI Punjab,10,10.0,35.02981693377395,35.02981693377395,4.0,1.0,10.0,1.0
598045,Sandeep Sharma,Bowler,Kings XI Punjab,10,0.0,26.363091685400704,26.363091685400704,,,,
598045,V Kohli,Batsmen,Royal Challengers Bangalore,10,77.0,35.00351768714029,35.00351768714029,5.0,1.0,3.0,1.0
598045,Z Khan,Bowler,Royal Challengers Bangalore,10,25.0,33.498636684683554,33.498636684683554,7.0,1.0,5.0,1.0
598046,AT Rayudu,Batsmen,Mumbai Indians,10,11.0,24.723561900168015,24.723561900168015,,,,
598046,B Laughlin,Bowler,Chennai Super Kings,10,-2.0,26.134786893404296,26.134786893404296,,,,
598046,CH Morris,Bowler,Chennai Super Kings,10,8.0,26.262515798257102,26.262515798257102,,,,
598046,DJ Bravo,AllRounder,Chennai Super Kings,10,38.0,40.63816899911549,60.95725349867324,1.0,1.0,6.0,1.0
598046,DR Smith,AllRounder,Mumbai Indians,10,26.0,40.090370274955795,40.090370274955795,2.0,1.0,10.0,1.0
598046,Harbhajan Singh,Bowler,Mumbai Indians,10,62.0,29.73862485766573,29.73862485766573,9.0,1.0,3.0,1.0
598046,KA Pollard,AllRounder,Mumbai Indians,10,1.0,31.61864200101148,31.61864200101148,,,,
598046,KD Karthik,Batsmen,Mumbai Indians,10,27.0,33.34122313581345,33.34122313581345,5.0,1.0,8.0,1.0
598046,M Vijay,Batsmen,Chennai Super Kings,10,2.0,32.424430899572805,32.424430899572805,7.0,1.0,,
598046,MEK Hussey,Batsmen,Chennai Super Kings,10,26.0,42.356843730817594,84.71368746163519,0.0,1.0,9.0,1.0
598046,MG Johnson,Bowler,Mumbai Indians,10,75.0,27.50469539147523,27.50469539147523,,,2.0,1.0
598046,MM Sharma,Bowler,Chennai Super Kings,10,10.0,30.10139040398011,30.10139040398011,8.0,1.0,,
598046,MS Dhoni,Batsmen,Chennai Super Kings,10,11.0,31.0195180650868,31.0195180650868,,,,
598046,P Suyal,Bowler,Mumbai Indians,10,25.0,25.175322679698066,25.175322679698066,,,,
598046,PP Ojha,Bowler,Mumbai Indians,10,121.5,29.356763329206075,29.356763329206075,10.0,1.0,1.0,1.0
598046,R Ashwin,Bowler,Chennai Super Kings,10,30.0,28.363282793341327,28.363282793341327,,,7.0,1.0
598046,RA Jadeja,AllRounder,Chennai Super Kings,10,206.0,33.33310032943627,33.33310032943627,6.0,1.0,0.0,1.0
598046,RG Sharma,Batsmen,Mumbai Indians,10,45.0,36.262622197839896,36.262622197839896,4.0,1.0,5.0,1.0
598046,S Badrinath,Batsmen,Chennai Super Kings,10,-2.0,27.65622468570698,27.65622468570698,,,,
598046,SK Raina,Batsmen,Chennai Super Kings,10,-2.0,36.46542707332461,36.46542707332461,3.0,1.0,,
598046,SL Malinga,Bowler,Mumbai Indians,10,56.0,27.90318081213653,27.90318081213653,,,4.0,1.0
598046,SR Tendulkar,Batsmen,Mumbai Indians,10,21.0,32.178330134489244,32.178330134489244,,,,
598047,A Chandila,Bowler,Rajasthan Royals,10,-6.0,27.33263189050788,27.33263189050788,,,,
598047,AD Mathews,AllRounder,Pune Warriors,10,39.0,34.855922465225675,34.855922465225675,4.0,1.0,6.0,1.0
