matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy
1136616,280.0,640.0,10,0.5625
1136617,278.0,506.0,11,0.4505928853754941
1136618,314.0,536.0,10,0.4141791044776119
1136619,467.0,583.0,10,0.19897084048027444
1136620,446.0,538.0,10,0.17100371747211895
1175356,282.0,490.0,10,0.42448979591836733
1175357,307.0,550.0,10,0.44181818181818183
1175358,400.0,593.0,10,0.3254637436762226
1175359,432.0,556.0,10,0.22302158273381295
1175360,338.0,453.0,10,0.25386313465783666
1175361,314.0,580.0,10,0.4586206896551724
1175362,398.0,621.0,10,0.35909822866344604
1175363,391.0,640.0,10,0.3890625
1175364,370.0,546.0,10,0.32234432234432236
1175365,486.0,624.0,10,0.22115384615384615
1175366,215.0,616.0,10,0.650974025974026
1175367,254.0,634.0,10,0.5993690851735016
1175368,330.0,624.0,10,0.47115384615384615
1175369,359.0,516.0,10,0.30426356589147285
1175370,357.0,575.0,10,0.3791304347826087
1175371,229.0,475.0,10,0.5178947368421053
1175372,520.0,587.0,10,0.1141396933560477
1178393,209.0,541.0,10,0.6136783733826248
1178394,203.0,536.0,10,0.621268656716418
1178395,365.0,578.0,10,0.3685121107266436
1178396,394.0,473.0,10,0.16701902748414377
1178397,382.0,477.0,11,0.19916142557651992
1178398,336.0,489.0,10,0.3128834355828221
1178399,436.0,632.0,10,0.310126582278481
1178400,284.0,553.0,10,0.4864376130198915
1178401,405.0,598.0,10,0.32274247491638797
1178402,473.0,649.0,10,0.2711864406779661
1178403,452.0,511.0,10,0.11545988258317025
1178404,382.0,583.0,10,0.34476843910806176
1178405,380.0,655.0,10,0.4198473282442748
1178406,456.0,636.0,10,0.2830188679245283
1178407,403.0,550.0,10,0.2672727272727273
1178408,342.0,458.0,11,0.25327510917030566
1178409,346.0,555.0,10,0.37657657657657656
1178410,539.0,680.0,10,0.2073529411764706
1178411,335.0,544.0,10,0.38419117647058826
1178412,372.0,559.0,10,0.334525939177102
1178413,292.0,530.0,11,0.4490566037735849
1178414,319.0,556.0,10,0.4262589928057554
1178415,369.0,615.0,10,0.4
1178416,198.0,543.0,10,0.6353591160220995
1178417,346.0,627.0,10,0.4481658692185008
1178418,257.0,603.0,10,0.5737976782752903
1178419,303.0,577.0,10,0.4748700173310225
1178420,397.0,530.0,10,0.2509433962264151
1178421,391.0,513.0,10,0.2378167641325536
1178422,489.0,684.0,10,0.2850877192982456
1178423,475.0,630.0,10,0.24603174603174602
1178424,159.0,311.0,10,0.4887459807073955
1178425,353.0,597.0,10,0.40871021775544386
1178426,343.0,590.0,10,0.4186440677966102
1178427,274.0,479.0,10,0.4279749478079332
1178428,326.0,562.0,10,0.4199288256227758
1178429,176.0,631.0,10,0.7210776545166403
1178430,348.0,622.0,10,0.4405144694533762
1178431,258.0,503.0,10,0.4870775347912525
1181764,193.0,457.0,10,0.5776805251641138
1181766,298.0,579.0,10,0.4853195164075993
1181767,354.0,507.0,10,0.30177514792899407
1181768,211.0,525.0,10,0.5980952380952381
